Ensembl	Gene	Synonym	Description	Protein.class	Evidence	HPA.evidence	ENTREZID	Gene.name.HPA	macrophageStep
ENSG00000108774	RAB5C	 RAB5CL, RABL,	"RAB5C, member RAS oncogene family"	"Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins"	"Evidence at protein level"	"Evidence at protein level"	5878	RAB5C	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000108788	MLX	 bHLHd13, MAD7, MXD7, TCFL4,	"MAX dimerization protein MLX"	"Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	6945	MLX	TF,LiverMacrophage,KupfferCells
ENSG00000108798	ABI3	 NESH, SSH3BP3,	"ABI family member 3"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	51225	ABI3	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000108819	PPP1R9B	 PPP1R6, PPP1R9, SPINO, Spn,	"Protein phosphatase 1 regulatory subunit 9B"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	84687	PPP1R9B	LiverMacrophage,KupfferCells
ENSG00000108846	ABCC3	 cMOAT2, EST90757, MLP2, MOAT-D, MRP3,	"ATP binding cassette subfamily C member 3"	"Cancer-related genes, Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	8714	ABCC3	LiverMacrophage
ENSG00000108861	DUSP3	 VHR,	"Dual specificity phosphatase 3"	"Enzymes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	1845	DUSP3	LiverMacrophage
ENSG00000109062	SLC9A3R1	 EBP50, NHERF, NHERF1,	"SLC9A3 regulator 1"	"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	9368	SLC9A3R1	TopGeneInFirstStep,KupfferCells
ENSG00000109083	IFT20	 ,	"Intraflagellar transport 20"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	90410	IFT20	TopGeneInFirstStep
ENSG00000109084	TMEM97	 MAC30,	"Transmembrane protein 97"	"Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	27346	TMEM97	KupfferCells
ENSG00000109099	PMP22	 CMT1A, GAS3, HMSNIA, HNPP, Sp110,	"Peripheral myelin protein 22"	"Cancer-related genes, Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at transcript level"	5376	PMP22	CancerDExpr
ENSG00000109113	RAB34	 NARR, RAB39, RAH,	"RAB34, member RAS oncogene family"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	83871	RAB34	LiverMacrophage
ENSG00000109133	TMEM33	 FLJ10525, Pom33,	"Transmembrane protein 33"	"Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at transcript level"	55161	TMEM33	LiverMacrophage,KupfferCells
ENSG00000109180	OCIAD1	 Asrij, FLJ20455, OCIA, TPA018,	"OCIA domain containing 1"	"Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	54940	OCIAD1	LiverMacrophage,KupfferCells
ENSG00000109320	NFKB1	 KBF1, NF-kappaB, NF-kB1, NFkappaB, NFKB-p50, p105, p50,	"Nuclear factor kappa B subunit 1"	"Cancer-related genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	4790	NFKB1	TF,FunctionGene,KupfferCells
ENSG00000109323	MANBA	 ,	"Mannosidase beta"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	4126	MANBA	LiverMacrophage,KupfferCells
ENSG00000109381	ELF2	 EU32, NERF, NERF-1A, NERF-1B, NERF-2,	"E74 like ETS transcription factor 2"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	1998	ELF2	TF,LiverMacrophage,KupfferCells
ENSG00000109436	TBC1D9	 GRAMD9, KIAA0882, MDR1,	"TBC1 domain family member 9"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	23158	TBC1D9	LiverMacrophage
ENSG00000109736	MFSD10	 IT10C3, TETRAN,	"Major facilitator superfamily domain containing 10"	"Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	10227	MFSD10	KupfferCells
ENSG00000109743	BST1	 CD157,	"Bone marrow stromal cell antigen 1"	"CD markers, Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	683	BST1	TopGeneInFirstStep,KupfferCells
ENSG00000109787	KLF3	 BKLF,	"Kruppel like factor 3"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	51274	KLF3	TF,LiverMacrophage,KupfferCells
ENSG00000109854	HTATIP2	 CC3, FLJ26963, SDR44U1, TIP30,	"HIV-1 Tat interactive protein 2"	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	10553	HTATIP2	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000109861	CTSC	 DPP1, PALS, PLS,	"Cathepsin C"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	1075	CTSC	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000109929	SC5D	 SC5DL,	Sterol-C5-desaturase	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	6309	SC5D	LiverMacrophage,KupfferCells
ENSG00000110031	LPXN	 LDPL,	Leupaxin	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9404	LPXN	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000110057	UNC93B1	 UNC93,	"Unc-93 homolog B1, TLR signaling regulator"	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	81622	UNC93B1	CancerDExpr,FunctionGene,LiverMacrophage,KupfferCells
ENSG00000110077	MS4A6A	 CD20L3, MS4A6,	"Membrane spanning 4-domains A6A"	"Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	64231	MS4A6A	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000110079	MS4A4A	 CD20L1, MS4A4, MS4A7,	"Membrane spanning 4-domains A4A"	"Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	51338	MS4A4A	CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000110090	CPT1A	 CPT1, CPT1-L, L-CPT1,	"Carnitine palmitoyltransferase 1A"	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	1374	CPT1A	KupfferCells
ENSG00000110108	TMEM109	 MGC5508,	"Transmembrane protein 109"	"Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	79073	TMEM109	TopGeneInFirstStep
ENSG00000110200	ANAPC15	 APC15, C11orf51, DKFZP564M082, HSPC020,	"Anaphase promoting complex subunit 15"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	25906	ANAPC15	TopGeneInFirstStep,KupfferCells
ENSG00000110315	RNF141	 ZFP26, ZNF230,	"Ring finger protein 141"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	50862	RNF141	LiverMacrophage,KupfferCells
ENSG00000110324	IL10RA	 CD210, CD210a, CDW210A, HIL-10R, IL10R,	"Interleukin 10 receptor subunit alpha"	"CD markers, Disease related genes, Human disease related genes, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	3587	IL10RA	CancerDExpr,FunctionGene,LiverMacrophage,KupfferCells
ENSG00000110330	BIRC2	 API1, c-IAP1, cIAP1, hiap-2, MIHB, RNF48,	"Baculoviral IAP repeat containing 2"	"Cancer-related genes, Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	329	BIRC2	LiverMacrophage,KupfferCells
ENSG00000110395	CBL	 c-Cbl, CBL2, RNF55,	"Cbl proto-oncogene"	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	867	CBL	FunctionGene,LiverMacrophage,KupfferCells
ENSG00000110422	HIPK3	 DYRK6, FIST3, PKY, YAK1,	"Homeodomain interacting protein kinase 3"	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	10114	HIPK3	LiverMacrophage,KupfferCells
ENSG00000110442	COMMD9	 FLJ31106, HSPC166,	"COMM domain containing 9"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	29099	COMMD9	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000110446	SLC15A3	 hPTR3, PHT2,	"Solute carrier family 15 member 3"	"Metabolic proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	51296	SLC15A3	CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000110696	C11orf58	 SMAP,	"Chromosome 11 open reading frame 58"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	10944	C11orf58	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000110719	TCIRG1	 a3, Atp6i, ATP6N1C, ATP6V0A3, OC-116, OC116, TIRC7,	"T cell immune regulator 1, ATPase H+ transporting V0 subunit a3"	"Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	10312	TCIRG1	CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000110852	CLEC2B	 AICL, CLECSF2, HP10085,	"C-type lectin domain family 2 member B"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9976	CLEC2B	CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000110876	SELPLG	 CD162, PSGL-1,	"Selectin P ligand"	"Candidate cardiovascular disease genes, CD markers, Plasma proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	6404	SELPLG	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000110880	CORO1C	 coronin-3, HCRNN4,	"Coronin 1C"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	23603	CORO1C	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000110934	BIN2	 BRAP-1,	"Bridging integrator 2"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	51411	BIN2	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000111144	LTA4H	 ,	"Leukotriene A4 hydrolase"	"Cancer-related genes, Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	4048	LTA4H	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000111145	ELK3	 ERP, NET, SAP2,	"ETS transcription factor ELK3"	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	2004	ELK3	TF,KupfferCells
ENSG00000111252	SH2B3	 IDDM20, LNK,	"SH2B adaptor protein 3"	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	10019	SH2B3	LiverMacrophage,KupfferCells
ENSG00000111269	CREBL2	 ,	"CAMP responsive element binding protein like 2"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	1389	CREBL2	CancerDExpr,TF,LiverMacrophage,KupfferCells
ENSG00000111275	ALDH2	 ,	"Aldehyde dehydrogenase 2 family member"	"Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	217	ALDH2	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000111321	LTBR	 D12S370, TNF-R-III, TNFCR, TNFR-RP, TNFR2-RP, TNFRSF3,	"Lymphotoxin beta receptor"	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	4055	LTBR	TopGeneInFirstStep,FunctionGene,LiverMacrophage,KupfferCells
ENSG00000111348	ARHGDIB	 GDIA2, GDID4, Ly-GDI, RAP1GN1, RhoGDI2,	"Rho GDP dissociation inhibitor beta"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	397	ARHGDIB	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000111424	VDR	 NR1I1, PPP1R163,	"Vitamin D receptor"	"Disease related genes, FDA approved drug targets, Human disease related genes, Nuclear receptors, Predicted intracellular proteins, Transcription factors, Transporters"	"Evidence at protein level"	"Evidence at protein level"	7421	VDR	TF,FunctionGene
ENSG00000111540	RAB5B	 ,	"RAB5B, member RAS oncogene family"	"Predicted intracellular proteins, RAS pathway related proteins"	"Evidence at protein level"	"Evidence at protein level"	5869	RAB5B	LiverMacrophage,KupfferCells
ENSG00000111596	CNOT2	 CDC36, NOT2, NOT2H,	"CCR4-NOT transcription complex subunit 2"	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	4848	CNOT2	LiverMacrophage,KupfferCells
ENSG00000111666	CHPT1	 CPT1,	"Choline phosphotransferase 1"	"Enzymes, Metabolic proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	56994	CHPT1	LiverMacrophage,KupfferCells
ENSG00000111670	GNPTAB	 GNPTA, KIAA1208, MGC4170,	"N-acetylglucosamine-1-phosphate transferase subunits alpha and beta"	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	79158	GNPTAB	LiverMacrophage
ENSG00000111679	PTPN6	 HCP, HCPH, PTP-1C, SHP-1, SHP1,	"Protein tyrosine phosphatase non-receptor type 6"	"Enzymes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	5777	PTPN6	TopGeneInFirstStep,CancerDExpr,FunctionGene,LiverMacrophage,KupfferCells
ENSG00000111716	LDHB	 ,	"Lactate dehydrogenase B"	"Disease related genes, Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	3945	LDHB	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000111729	CLEC4A	 CD367, CLECSF6, DCIR, DDB27,	"C-type lectin domain family 4 member A"	"CD markers, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	50856	CLEC4A	TopGeneInFirstStep,CancerDExpr
ENSG00000111790	FGFR1OP2	 DKFZp564O1863,	"FGFR1 oncogene partner 2"	"Disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	26127	FGFR1OP2	LiverMacrophage
ENSG00000111796	KLRB1	 CD161, CLEC5B, hNKR-P1A, NKR, NKR-P1, NKR-P1A,	"Killer cell lectin like receptor B1"	"CD markers, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	3820	KLRB1	KupfferCells
ENSG00000111817	DSE	 DS-Epi1, DSEPI, SART2,	"Dermatan sulfate epimerase"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	29940	DSE	CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000111832	RWDD1	 PTD013,	"RWD domain containing 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	51389	RWDD1	LiverMacrophage,KupfferCells
ENSG00000111912	NCOA7	 dJ187J11.3, ERAP140, TLDC4,	"Nuclear receptor coactivator 7"	"Predicted intracellular proteins, Transporters"	"Evidence at protein level"	"Evidence at transcript level"	135112	NCOA7	LiverMacrophage
ENSG00000111913	RIPOR2	 C6orf32, DIFF48, FAM65B, KIAA0386, MYONAP,	"RHO family interacting cell polarization regulator 2"	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	9750	RIPOR2	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000111961	SASH1	 dJ323M4.1, KIAA0790, SH3D6A,	"SAM and SH3 domain containing 1"	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	23328	SASH1	LiverMacrophage
ENSG00000112033	PPARD	 FAAR, NR1C2, NUC1, NUCII,	"Peroxisome proliferator activated receptor delta"	"FDA approved drug targets, Nuclear receptors, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	5467	PPARD	TF,FunctionGene
ENSG00000112096	SOD2	 GClnc1,	"Superoxide dismutase 2"	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	6648	SOD2	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000112137	PHACTR1	 dJ257A7.2, KIAA1733, RPEL1,	"Phosphatase and actin regulator 1"	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	221692	PHACTR1	CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000112149	CD83	 BL11, HB15,	"CD83 molecule"	"CD markers, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	9308	CD83	CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000112297	CRYBG1	 AIM1, ST4,	"Crystallin beta-gamma domain containing 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	202	CRYBG1	KupfferCells
ENSG00000112303	VNN2	 FOAP-4, GPI-80,	"Vanin 2"	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	8875	VNN2	KupfferCells
ENSG00000112343	TRIM38	 RNF15, RORET,	"Tripartite motif containing 38"	"Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	10475	TRIM38	LiverMacrophage,KupfferCells
ENSG00000112406	HECA	 dJ225E12.1, HDC, HDCL, hHDC,	"Hdc homolog, cell cycle regulator"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	51696	HECA	LiverMacrophage,KupfferCells
ENSG00000112419	PHACTR2	 C6orf56, KIAA0680,	"Phosphatase and actin regulator 2"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	9749	PHACTR2	LiverMacrophage,KupfferCells
ENSG00000112531	QKI	 QK3,	"QKI, KH domain containing RNA binding"	"Cancer-related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9444	QKI	CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000112561	TFEB	 bHLHe35, TCFEB,	"Transcription factor EB"	"Cancer-related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	7942	TFEB	TF
ENSG00000112695	COX7A2	 COX7AL, COXVIIa-L,	"Cytochrome c oxidase subunit 7A2"	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at transcript level"	"Evidence at transcript level"	1347	COX7A2	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000112701	SENP6	 KIAA0797, SUSP1,	"SUMO specific peptidase 6"	"Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	26054	SENP6	KupfferCells
ENSG00000112759	SLC29A1	 ENT1,	"Solute carrier family 29 member 1 (Augustine blood group)"	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	2030	SLC29A1	LiverMacrophage
ENSG00000112799	LY86	 dJ80N2.1, MD-1,	"Lymphocyte antigen 86"	"Predicted secreted proteins"	"Evidence at protein level"	"Evidence at transcript level"	9450	LY86	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000112851	ERBIN	 ERBB2IP, LAP2,	"Erbb2 interacting protein"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	55914	ERBIN	LiverMacrophage,KupfferCells
ENSG00000112893	MAN2A1	 GOLIM7, MANA2,	"Mannosidase alpha class 2A member 1"	"Enzymes, Metabolic proteins, Plasma proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	4124	MAN2A1	LiverMacrophage,KupfferCells
ENSG00000112992	NNT	 ,	"Nicotinamide nucleotide transhydrogenase"	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	23530	NNT	KupfferCells
ENSG00000113140	SPARC	 BM-40, ON, ONT,	"Secreted protein acidic and cysteine rich"	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	6678	SPARC	LiverMacrophage,KupfferCells
ENSG00000113269	RNF130	 G1RZFP, GOLIATH, GP,	"Ring finger protein 130"	"Enzymes, Metabolic proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	55819	RNF130	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000113282	CLINT1	 CLINT, ENTH, EPNR, KIAA0171,	"Clathrin interactor 1"	"Plasma proteins, Predicted intracellular proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	9685	CLINT1	KupfferCells
ENSG00000113328	CCNG1	 CCNG,	"Cyclin G1"	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	900	CCNG1	LiverMacrophage
ENSG00000113369	ARRDC3	 KIAA1376, TLIMP,	"Arrestin domain containing 3"	"Predicted intracellular proteins, Transporters"	"Evidence at protein level"	"Evidence at transcript level"	57561	ARRDC3	LiverMacrophage,KupfferCells
ENSG00000113441	LNPEP	 CAP, IRAP, P-LAP, PLAP,	"Leucyl and cystinyl aminopeptidase"	"Enzymes, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	4012	LNPEP	LiverMacrophage
ENSG00000113504	SLC12A7	 DKFZP434F076, KCC4,	"Solute carrier family 12 member 7"	"Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	10723	SLC12A7	LiverMacrophage
ENSG00000113532	ST8SIA4	 PST, PST1, SIAT8D,	"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4"	"Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	7903	ST8SIA4	LiverMacrophage,KupfferCells
ENSG00000113580	NR3C1	 GR, GRL,	"Nuclear receptor subfamily 3 group C member 1"	"Disease related genes, FDA approved drug targets, Human disease related genes, Nuclear receptors, Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	2908	NR3C1	TF,FunctionGene,LiverMacrophage,KupfferCells
ENSG00000113658	SMAD5	 Dwfc, JV5-1, MADH5,	"SMAD family member 5"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	4090	SMAD5	TF
ENSG00000113742	CPEB4	 KIAA1673,	"Cytoplasmic polyadenylation element binding protein 4"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	80315	CPEB4	LiverMacrophage,KupfferCells
ENSG00000113749	HRH2	 ,	"Histamine receptor H2"	"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	3274	HRH2	KupfferCells
ENSG00000113761	ZNF346	 JAZ, Zfp346,	"Zinc finger protein 346"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	23567	ZNF346	TF
ENSG00000113851	CRBN	 MRT2, MRT2A,	Cereblon	"Disease related genes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	51185	CRBN	LiverMacrophage,KupfferCells
ENSG00000113916	BCL6	 BCL5, BCL6A, LAZ3, ZBTB27, ZNF51,	"BCL6 transcription repressor"	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	604	BCL6	TF,KupfferCells
ENSG00000114013	CD86	 B7-2, B7.2, CD28LG2,	"CD86 molecule"	"CD markers, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	942	CD86	TopGeneInFirstStep,CancerDExpr,FunctionGene,LiverMacrophage,KupfferCells
ENSG00000114062	UBE3A	 ANCR, AS, E6-AP, EPVE6AP, FLJ26981, HPVE6A,	"Ubiquitin protein ligase E3A"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	7337	UBE3A	LiverMacrophage,KupfferCells
ENSG00000114098	ARMC8	 DKFZP434A043, GID5, HSPC056, VID28,	"Armadillo repeat containing 8"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	25852	ARMC8	LiverMacrophage
ENSG00000114126	TFDP2	 Dp-2,	"Transcription factor Dp-2"	"Cancer-related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	7029	TFDP2	TF
ENSG00000114127	XRN1	 SEP1,	"5'-3' exoribonuclease 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	54464	XRN1	KupfferCells
ENSG00000114209	PDCD10	 CCM3, TFAR15,	"Programmed cell death 10"	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	11235	PDCD10	TopGeneInFirstStep,LiverMacrophage
ENSG00000114331	ACAP2	 CENTB2, CNT-B2, KIAA0041,	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	23527	ACAP2	LiverMacrophage,KupfferCells
ENSG00000114395	CYB561D2	 101F6, TSP10,	"Cytochrome b561 family member D2"	"Enzymes, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	11068	CYB561D2	TopGeneInFirstStep
ENSG00000114416	FXR1	 ,	"FMR1 autosomal homolog 1"	"Disease related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	8087	FXR1	LiverMacrophage,KupfferCells
