Ensembl	Gene	Synonym	Description	Protein.class	Evidence	HPA.evidence	ENTREZID	Gene.name.HPA	CD4 T-cellStep
ENSG00000101460	MAP1LC3A	 ATG8E, LC3, LC3A, MAP1ALC3, MAP1BLC3,	"Microtubule associated protein 1 light chain 3 alpha"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	84557	MAP1LC3A	TcellActVsNaive
ENSG00000101474	APMAP	 BSCv, C20orf3,	"Adipocyte plasma membrane associated protein"	"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	57136	APMAP	TopGeneInFirstStep
ENSG00000101745	ANKRD12	 FLJ20053, GAC-1, KIAA0874,	"Ankyrin repeat domain 12"	"Cancer-related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	23253	ANKRD12	TopGeneInFirstStep
ENSG00000101911	PRPS2	 ,	"Phosphoribosyl pyrophosphate synthetase 2"	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	5634	PRPS2	TopGeneInFirstStep
ENSG00000102007	PLP2	 A4, A4-LSB, MGC126187,	"Proteolipid protein 2"	"Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at transcript level"	5355	PLP2	TopGeneInFirstStep
ENSG00000102034	ELF4	 ELFR, MEF,	"E74 like ETS transcription factor 4"	"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	2000	ELF4	TF
ENSG00000102054	RBBP7	 RbAp46,	"RB binding protein 7, chromatin remodeling factor"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	5931	RBBP7	TopGeneInFirstStep
ENSG00000102096	PIM2	 ,	"Pim-2 proto-oncogene, serine/threonine kinase"	"Cancer-related genes, Enzymes, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	11040	PIM2	TopGeneInFirstStep
ENSG00000102245	CD40LG	 CD154, CD40L, gp39, hCD40L, HIGM1, IMD3, TNFSF5, TRAP,	"CD40 ligand"	"Cancer-related genes, Candidate cardiovascular disease genes, CD markers, Disease related genes, Human disease related genes, Predicted membrane proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	959	CD40LG	TopGeneInFirstStep,CancerDExpr,FunctionGene,TcellActVsNaive
ENSG00000102317	RBM3	 IS1-RNPL,	"RNA binding motif protein 3"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	5935	RBM3	TopGeneInFirstStep
ENSG00000102409	BEX4	 BEXL1, FLJ10097,	"Brain expressed X-linked 4"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	56271	BEX4	TopGeneInFirstStep
ENSG00000102471	NDFIP2	 KIAA1165, N4wbp5a,	"Nedd4 family interacting protein 2"	"Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	54602	NDFIP2	TcellActVsNaive
ENSG00000102524	TNFSF13B	 BAFF, BLYS, CD257, TALL-1, TALL1, THANK, TNFSF20,	"TNF superfamily member 13b"	"Cancer-related genes, CD markers, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	10673	TNFSF13B	FunctionGene
ENSG00000102575	ACP5	 HPAP, TRAP,	"Acid phosphatase 5, tartrate resistant"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	54	ACP5	TopGeneInFirstStep
ENSG00000102760	RGCC	 bA157L14.2, C13orf15, RGC-32, RGC32,	"Regulator of cell cycle"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	28984	RGCC	TopGeneInFirstStep
ENSG00000102871	TRADD	 Hs.89862,	"TNFRSF1A associated via death domain"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	8717	TRADD	TopGeneInFirstStep
ENSG00000102897	LYRM1	 A211C6.1,	"LYR motif containing 1"	"Disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	57149	LYRM1	TopGeneInFirstStep
ENSG00000102974	CTCF	 CFAP108, FAP108,	"CCCTC-binding factor"	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	10664	CTCF	TF
ENSG00000102977	ACD	 Pip1, Ptop, Tint1, Tpp1,	"ACD shelterin complex subunit and telomerase recruitment factor"	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	65057	ACD	TopGeneInFirstStep
ENSG00000102984	ZNF821	 ,	"Zinc finger protein 821"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	55565	ZNF821	TF
ENSG00000103024	NME3	 DR-nm23, NDPKC, NM23-H3,	"NME/NM23 nucleoside diphosphate kinase 3"	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	4832	NME3	TopGeneInFirstStep
ENSG00000103152	MPG	 MDG,	"N-methylpurine DNA glycosylase"	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	4350	MPG	TopGeneInFirstStep
ENSG00000103187	COTL1	 CLP,	"Coactosin like F-actin binding protein 1"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	23406	COTL1	TopGeneInFirstStep
ENSG00000103194	USP10	 KIAA0190, UBPO,	"Ubiquitin specific peptidase 10"	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9100	USP10	TopGeneInFirstStep
ENSG00000103199	ZNF500	 KIAA0557, ZKSCAN18, ZSCAN50,	"Zinc finger protein 500"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	26048	ZNF500	TF
ENSG00000103202	NME4	 NDPKD, nm23-H4, NM23H4,	"NME/NM23 nucleoside diphosphate kinase 4"	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	4833	NME4	TopGeneInFirstStep
ENSG00000103343	ZNF174	 ZSCAN8,	"Zinc finger protein 174"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	7727	ZNF174	TF
ENSG00000103351	CLUAP1	 CFAP22, FAP22, FLJ13297, IFT38, KIAA0643,	"Clusterin associated protein 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	23059	CLUAP1	TopGeneInFirstStep
ENSG00000103415	HMOX2	 HO-2,	"Heme oxygenase 2"	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	3163	HMOX2	TopGeneInFirstStep
ENSG00000103479	RBL2	 p130, Rb2,	"RB transcriptional corepressor like 2"	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	5934	RBL2	TopGeneInFirstStep
ENSG00000103490	PYCARD	 ASC, CARD5, TMS-1,	"PYD and CARD domain containing"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	29108	PYCARD	TopGeneInFirstStep
ENSG00000103522	IL21R	 CD360,	"Interleukin 21 receptor"	"Cancer-related genes, CD markers, Disease related genes, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	50615	IL21R	FunctionGene,TcellActVsNaive
ENSG00000103591	AAGAB	 FLJ11506, p34,	"Alpha and gamma adaptin binding protein"	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	79719	AAGAB	TopGeneInFirstStep
ENSG00000103653	CSK	 ,	"C-terminal Src kinase"	"Enzymes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	1445	CSK	TopGeneInFirstStep,FunctionGene
ENSG00000104231	ZFAND1	 FLJ14007,	"Zinc finger AN1-type containing 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	79752	ZFAND1	TopGeneInFirstStep
ENSG00000104365	IKBKB	 IKK-beta, IKK2, IKKB, NFKBIKB,	"Inhibitor of nuclear factor kappa B kinase subunit beta"	"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins"	"Evidence at protein level"	"Evidence at protein level"	3551	IKBKB	FunctionGene
ENSG00000104518	GSDMD	 DF5L, FLJ12150, GSDMDC1,	"Gasdermin D"	"Predicted intracellular proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	79792	GSDMD	TopGeneInFirstStep
ENSG00000104524	PYCR3	 FLJ13852, PYCRL,	"Pyrroline-5-carboxylate reductase 3"	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	65263	PYCR3	TcellActVsNaive
ENSG00000104635	SLC39A14	 KIAA0062, NET34, ZIP14,	"Solute carrier family 39 member 14"	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	23516	SLC39A14	TcellActVsNaive
ENSG00000104660	LEPROTL1	 my047, Vps55,	"Leptin receptor overlapping transcript like 1"	"Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	23484	LEPROTL1	TopGeneInFirstStep,CancerDExpr
ENSG00000104689	TNFRSF10A	 Apo2, CD261, DR4, TRAILR-1, TRAILR1,	"TNF receptor superfamily member 10a"	"Cancer-related genes, CD markers, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	8797	TNFRSF10A	FunctionGene
ENSG00000104763	ASAH1	 AC, ACDase, ASAH, FLJ21558, PHP32,	"N-acylsphingosine amidohydrolase 1"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	427	ASAH1	TopGeneInFirstStep
ENSG00000104805	NUCB1	 Calnuc, NUC,	"Nucleobindin 1"	"Plasma proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	4924	NUCB1	TopGeneInFirstStep
ENSG00000104825	NFKBIB	 IKBB, TRIP9,	"NFKB inhibitor beta"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	4793	NFKBIB	FunctionGene
ENSG00000104856	RELB	 REL-B,	"RELB proto-oncogene, NF-kB subunit"	"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	5971	RELB	TF,TcellActVsNaive
ENSG00000104870	FCGRT	 alpha-chain, FCRN,	"Fc fragment of IgG receptor and transporter"	"Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	2217	FCGRT	TopGeneInFirstStep,FunctionGene
ENSG00000104872	PIH1D1	 FLJ20643, MOT48, NOP17, Pih1,	"PIH1 domain containing 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	55011	PIH1D1	TopGeneInFirstStep
ENSG00000104886	PLEKHJ1	 FLJ10297,	"Pleckstrin homology domain containing J1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	55111	PLEKHJ1	TopGeneInFirstStep
ENSG00000104894	CD37	 TSPAN26,	"CD37 molecule"	"CD markers, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	951	CD37	TopGeneInFirstStep
ENSG00000104904	OAZ1	 AZ1, AZI, MGC138338, OAZ,	"Ornithine decarboxylase antizyme 1"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	4946	OAZ1	TopGeneInFirstStep
ENSG00000104915	STX10	 hsyn10, SYN10,	"Syntaxin 10"	"Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	8677	STX10	TopGeneInFirstStep
ENSG00000104918	RETN	 ADSF, FIZZ3, RETN1,	Resistin	"Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at transcript level"	56729	RETN	FunctionGene
ENSG00000104976	SNAPC2	 PTFdelta, SNAP45,	"Small nuclear RNA activating complex polypeptide 2"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	6618	SNAPC2	TF
ENSG00000104998	IL27RA	 CRL1, IL-27R, TCCR, WSX-1, WSX1, zcytor1,	"Interleukin 27 receptor subunit alpha"	"Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	9466	IL27RA	TopGeneInFirstStep,FunctionGene
ENSG00000105053	VRK3	 ,	"VRK serine/threonine kinase 3"	"Enzymes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	51231	VRK3	TopGeneInFirstStep
ENSG00000105127	AKAP8	 AKAP95, DKFZp586B1222,	"A-kinase anchoring protein 8"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	10270	AKAP8	TF
ENSG00000105135	ILVBL	 209L8, AHAS, FLJ39061, HACL1L, ILV2H, MGC1269, MGC19535,	"IlvB acetolactate synthase like"	"Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	10994	ILVBL	TopGeneInFirstStep
ENSG00000105136	ZNF419	 ZAPHIR, ZNF419A,	"Zinc finger protein 419"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	79744	ZNF419	TF
ENSG00000105369	CD79A	 IGA, MB-1,	"CD79a molecule"	"Cancer-related genes, CD markers, Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	973	CD79A	FunctionGene
ENSG00000105374	NKG7	 GIG1, GMP-17,	"Natural killer cell granule protein 7"	"Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	4818	NKG7	TopGeneInFirstStep
ENSG00000105397	TYK2	 JTK1,	"Tyrosine kinase 2"	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	7297	TYK2	FunctionGene
ENSG00000105447	GRWD1	 GRWD, RRB1, WDR28,	"Glutamate rich WD repeat containing 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	83743	GRWD1	TopGeneInFirstStep,TcellActVsNaive
ENSG00000105472	CLEC11A	 CLECSF3, LSLCL, P47, SCGF,	"C-type lectin domain containing 11A"	"Plasma proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at transcript level"	6320	CLEC11A	FunctionGene
ENSG00000105483	CARD8	 CARDINAL, Dakar, KIAA0955, NDPP, TUCAN,	"Caspase recruitment domain family member 8"	"Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	22900	CARD8	TopGeneInFirstStep
ENSG00000105516	DBP	 DABP,	"D-box binding PAR bZIP transcription factor"	"Metabolic proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	1628	DBP	TF
ENSG00000105607	GCDH	 ACAD5,	"Glutaryl-CoA dehydrogenase"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	2639	GCDH	TopGeneInFirstStep
ENSG00000105672	ETV2	 ER71,	"ETS variant transcription factor 2"	"Predicted intracellular proteins, Transcription factors"	"Evidence at transcript level"	"Evidence at transcript level"	2116	ETV2	TF
ENSG00000105708	ZNF14	 GIOT-4, KOX6,	"Zinc finger protein 14"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	7561	ZNF14	TopGeneInFirstStep,TF
ENSG00000105717	PBX4	 ,	"PBX homeobox 4"	"Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	80714	PBX4	TF
ENSG00000105750	ZNF85	 HPF4, HTF1,	"Zinc finger protein 85"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	7639	ZNF85	TF
ENSG00000105755	ETHE1	 HSCO, YF13H12,	"ETHE1 persulfide dioxygenase"	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	23474	ETHE1	TopGeneInFirstStep
ENSG00000105851	PIK3CG	 ,	"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma"	"Cancer-related genes, Enzymes, FDA approved drug targets, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	5294	PIK3CG	FunctionGene
ENSG00000105856	HBP1	 ,	"HMG-box transcription factor 1"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	26959	HBP1	TopGeneInFirstStep,TF
ENSG00000105866	SP4	 HF1B, MGC130008, MGC130009, SPR-1,	"Sp4 transcription factor"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	6671	SP4	TF
ENSG00000105939	ZC3HAV1	 ARTD13, FLB6421, FLJ13288, MGC48898, PARP13, ZAP, ZC3H2, ZC3HDC2,	"Zinc finger CCCH-type containing, antiviral 1"	"Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	56829	ZC3HAV1	TopGeneInFirstStep
ENSG00000105983	LMBR1	 ACHP, C7orf2, FLJ11665, ZRS,	"Limb development membrane protein 1"	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	64327	LMBR1	FunctionGene
ENSG00000106049	HIBADH	 NS5ATP1,	"3-hydroxyisobutyrate dehydrogenase"	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	11112	HIBADH	TopGeneInFirstStep
ENSG00000106100	NOD1	 CARD4, CLR7.1, NLRC1,	"Nucleotide binding oligomerization domain containing 1"	"Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	10392	NOD1	FunctionGene
ENSG00000106105	GARS1	 CMT2D, DSMAV, GARS, GlyRS, SMAD1,	"Glycyl-tRNA synthetase 1"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	2617	GARS1	TopGeneInFirstStep,TcellActVsNaive
ENSG00000106144	CASP2	 ICH1, MGC2181, NEDD2, PPP1R57,	"Caspase 2"	"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	835	CASP2	TopGeneInFirstStep
ENSG00000106211	HSPB1	 CMT2F, Hs.76067, Hsp25, HSP27, HSP28,	"Heat shock protein family B (small) member 1"	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	3315	HSPB1	TopGeneInFirstStep
ENSG00000106266	SNX8	 Mvp1,	"Sorting nexin 8"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	29886	SNX8	TcellActVsNaive
ENSG00000106268	NUDT1	 MTH1,	"Nudix hydrolase 1"	"Cancer-related genes, Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	4521	NUDT1	TopGeneInFirstStep
ENSG00000106305	AIMP2	 JTV-1, JTV1, p38, PRO0992,	"Aminoacyl tRNA synthetase complex interacting multifunctional protein 2"	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	7965	AIMP2	TopGeneInFirstStep
ENSG00000106462	EZH2	 ENX-1, EZH1, KMT6, KMT6A,	"Enhancer of zeste 2 polycomb repressive complex 2 subunit"	"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	2146	EZH2	TcellActVsNaive
ENSG00000106560	GIMAP2	 DKFZp586D0824, HIMAP2, IAN12, IMAP2,	"GTPase, IMAP family member 2"	"Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	26157	GIMAP2	TopGeneInFirstStep
ENSG00000106603	COA1	 C7orf44, FLJ10803, MITRAC15,	"Cytochrome c oxidase assembly factor 1 homolog"	"Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	55744	COA1	TopGeneInFirstStep
ENSG00000106605	BLVRA	 BLVR,	"Biliverdin reductase A"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	644	BLVRA	TopGeneInFirstStep
ENSG00000106733	NMRK1	 bA235O14.2, C9orf95, FLJ20559, NRK1,	"Nicotinamide riboside kinase 1"	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	54981	NMRK1	TopGeneInFirstStep
ENSG00000106948	AKNA	 KIAA1968,	"AT-hook transcription factor"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	80709	AKNA	TF
ENSG00000106952	TNFSF8	 CD153, CD30LG,	"TNF superfamily member 8"	"Cancer-related genes, CD markers, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	944	TNFSF8	TopGeneInFirstStep,FunctionGene
ENSG00000106991	ENG	 CD105, END, HHT1, ORW, ORW1,	Endoglin	"Cancer-related genes, Candidate cardiovascular disease genes, CD markers, Disease related genes, Human disease related genes, Plasma proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	2022	ENG	FunctionGene
ENSG00000107014	RLN2	 bA12D24.1.1, bA12D24.1.2, H2, RLXH2,	"Relaxin 2"	"Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at transcript level"	6013	RLN2	FunctionGene
ENSG00000107020	PLGRKT	 AD025, C9orf46, FLJ14688, MDS030, Plg-RKT,	"Plasminogen receptor with a C-terminal lysine"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	55848	PLGRKT	TopGeneInFirstStep
ENSG00000107485	GATA3	 HDR,	"GATA binding protein 3"	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	2625	GATA3	TF
ENSG00000107643	MAPK8	 JNK, JNK1, PRKM8, SAPK1,	"Mitogen-activated protein kinase 8"	"Cancer-related genes, Enzymes, Predicted intracellular proteins, RAS pathway related proteins"	"Evidence at protein level"	"Evidence at protein level"	5599	MAPK8	FunctionGene
ENSG00000107738	VSIR	 B7-H5, B7H5, C10orf54, Dies1, GI24, PD-1H, SISP1, VISTA,	"V-set immunoregulatory receptor"	"Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	64115	VSIR	TopGeneInFirstStep
ENSG00000107742	SPOCK2	 KIAA0275, testican-2,	"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2"	"Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	9806	SPOCK2	TopGeneInFirstStep,CancerDExpr
ENSG00000107758	PPP3CB	 CALNA2, CALNB, CNA2, PP2Bbeta,	"Protein phosphatase 3 catalytic subunit beta"	"Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	5532	PPP3CB	FunctionGene
ENSG00000107798	LIPA	 CESD, LAL,	"Lipase A, lysosomal acid type"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	3988	LIPA	TopGeneInFirstStep
ENSG00000107872	FBXL15	 Fbl15, FBXO37, MGC11279,	"F-box and leucine rich repeat protein 15"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	79176	FBXL15	TopGeneInFirstStep
ENSG00000107902	LHPP	 HDHD2B,	"Phospholysine phosphohistidine inorganic pyrophosphate phosphatase"	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	64077	LHPP	TopGeneInFirstStep
ENSG00000108179	PPIF	 Cyp-D, hCyP3,	"Peptidylprolyl isomerase F"	"Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	10105	PPIF	TcellActVsNaive
ENSG00000108219	TSPAN14	 DC-TM4F2, MGC11352, TM4SF14,	"Tetraspanin 14"	"Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	81619	TSPAN14	TopGeneInFirstStep
ENSG00000108465	CDK5RAP3	 C53, FLJ13660, HSF-27, IC53, LZAP, MST016, OK/SW-cl.114,	"CDK5 regulatory subunit associated protein 3"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	80279	CDK5RAP3	TopGeneInFirstStep
ENSG00000108587	GOSR1	 GOLIM2, GOS-28, GOS28, GS28, P28,	"Golgi SNAP receptor complex member 1"	"Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	9527	GOSR1	TopGeneInFirstStep
ENSG00000108622	ICAM2	 CD102,	"Intercellular adhesion molecule 2"	"CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	3384	ICAM2	TopGeneInFirstStep,FunctionGene
ENSG00000108639	SYNGR2	 ,	"Synaptogyrin 2"	"Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	9144	SYNGR2	TopGeneInFirstStep
ENSG00000108654	DDX5	 G17P1, HLR1, p68,	"DEAD-box helicase 5"	"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	1655	DDX5	TopGeneInFirstStep
ENSG00000108669	CYTH1	 B2-1, cytohesin-1, D17S811E, PSCD1,	"Cytohesin 1"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	9267	CYTH1	TopGeneInFirstStep
ENSG00000108679	LGALS3BP	 90K, BTBD17B, CyCAP, gp90, M2BP, MAC-2-BP, TANGO10B,	"Galectin 3 binding protein"	"Cancer-related genes, Plasma proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at transcript level"	3959	LGALS3BP	TopGeneInFirstStep
ENSG00000108771	DHX58	 D11LGP2, LGP2,	"DExH-box helicase 58"	"Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	79132	DHX58	FunctionGene
ENSG00000108774	RAB5C	 RAB5CL, RABL,	"RAB5C, member RAS oncogene family"	"Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins"	"Evidence at protein level"	"Evidence at protein level"	5878	RAB5C	TopGeneInFirstStep
ENSG00000108788	MLX	 bHLHd13, MAD7, MXD7, TCFL4,	"MAX dimerization protein MLX"	"Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	6945	MLX	TopGeneInFirstStep,TF
