Ensembl	Gene	Synonym	Description	Protein.class	Evidence	HPA.evidence	ENTREZID	Gene.name.HPA	CD8.T.cellStep	CD4.T.cellStep	macrophageStep
ENSG00000115267	IFIH1	 Hlcd, IDDM19, MDA-5, MDA5,	"Interferon induced with helicase C domain 1"	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	64135	IFIH1	FunctionGene	FunctionGene	FunctionGene
ENSG00000115286	NDUFS7	 CI-20, FLJ45860, FLJ46880, PSST,	"NADH:ubiquinone oxidoreductase core subunit S7"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	374291	NDUFS7	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000115307	AUP1	 ,	"AUP1 lipid droplet regulating VLDL assembly factor"	"Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	550	AUP1	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000115365	LANCL1	 GPR69A, p40,	"LanC like 1"	"Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	10314	LANCL1	FunctionGene	FunctionGene	FunctionGene
ENSG00000115415	STAT1	 ISGF-3, STAT91,	"Signal transducer and activator of transcription 1"	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	6772	STAT1	TopGeneInFirstStep,TF,FunctionGene	TopGeneInFirstStep,TF,FunctionGene	TopGeneInFirstStep,CancerDExpr,TF,FunctionGene,LiverMacrophage,KupfferCells
ENSG00000115523	GNLY	 D2S69E, LAG-2, LAG2, NKG5, TLA519,	Granulysin	"Predicted intracellular proteins, Predicted secreted proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	10578	GNLY	TopGeneInFirstStep,CancerDExpr,FunctionGene	TopGeneInFirstStep,FunctionGene	FunctionGene
ENSG00000115738	ID2	 bHLHb26, GIG8,	"Inhibitor of DNA binding 2"	"Cancer-related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	3398	ID2	TopGeneInFirstStep,CancerDExpr	TopGeneInFirstStep	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000115756	HPCAL1	 BDR1, HLP2, VILIP-3,	"Hippocalcin like 1"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	3241	HPCAL1	TopGeneInFirstStep	TopGeneInFirstStep	LiverMacrophage,KupfferCells
ENSG00000115935	WIPF1	 WASPIP, WIP,	"WAS/WASL interacting protein family member 1"	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	7456	WIPF1	TopGeneInFirstStep,CancerDExpr	TopGeneInFirstStep	LiverMacrophage,KupfferCells
ENSG00000115966	ATF2	 CRE-BP1, CREB2, HB16, TREB7,	"Activating transcription factor 2"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	1386	ATF2	TopGeneInFirstStep,TF	TF	TF
ENSG00000116044	NFE2L2	 NRF2,	"Nuclear factor, erythroid 2 like 2"	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	4780	NFE2L2	TopGeneInFirstStep,TF	TopGeneInFirstStep,TF	TopGeneInFirstStep,TF,LiverMacrophage,KupfferCells
ENSG00000116161	CACYBP	 S100A6BP, SIP,	"Calcyclin binding protein"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	27101	CACYBP	TopGeneInFirstStep,FunctionGene	TopGeneInFirstStep,FunctionGene	FunctionGene,LiverMacrophage,KupfferCells
ENSG00000116171	SCP2	 ,	"Sterol carrier protein 2"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	6342	SCP2	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000116731	PRDM2	 HUMHOXY1, KMT8, KMT8A, MTB-ZF, RIZ, RIZ1, RIZ2,	"PR/SET domain 2"	"Enzymes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	7799	PRDM2	TF	TF	TF,LiverMacrophage
ENSG00000117000	RLF	 Zn-15L, ZNF292L,	"RLF zinc finger"	"Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	6018	RLF	TF	TF	TF
ENSG00000117010	ZNF684	 MGC27466,	"Zinc finger protein 684"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	127396	ZNF684	TF	TF	TF
ENSG00000117036	ETV3	 PE-1,	"ETS variant transcription factor 3"	"Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	2117	ETV3	TF	TF	TF
ENSG00000117091	CD48	 BCM1, BLAST, hCD48, mCD48, SLAMF2,	"CD48 molecule"	"CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	962	CD48	TopGeneInFirstStep,CancerDExpr	TopGeneInFirstStep,CancerDExpr	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000117139	KDM5B	 CT31, JARID1B, PLU-1, PPP1R98, RBBP2H1A,	"Lysine demethylase 5B"	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	10765	KDM5B	TF	TF	TF
ENSG00000117228	GBP1	 ,	"Guanylate binding protein 1"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	2633	GBP1	TopGeneInFirstStep,TcellActVsNaive	TopGeneInFirstStep,TcellActVsNaive	CancerDExpr
ENSG00000117280	RAB29	 RAB7L, RAB7L1,	"RAB29, member RAS oncogene family"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	8934	RAB29	TopGeneInFirstStep	TopGeneInFirstStep	LiverMacrophage
ENSG00000117318	ID3	 bHLHb25, HEIR-1,	"Inhibitor of DNA binding 3, HLH protein"	"Cancer-related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	3399	ID3	TopGeneInFirstStep,TcellActVsNaive	TopGeneInFirstStep	LiverMacrophage,KupfferCells
ENSG00000117335	CD46	 MCP, MGC26544, MIC10, TLX, TRA2.10,	"CD46 molecule"	"Cancer-related genes, CD markers, Disease related genes, Human disease related genes, Plasma proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	4179	CD46	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000117632	STMN1	 C1orf215, FLJ32206, Lag, LAP18, OP18, PP17, PP19, PR22, SMN,	"Stathmin 1"	"Cancer-related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	3925	STMN1	TopGeneInFirstStep	TopGeneInFirstStep	LiverMacrophage,KupfferCells
ENSG00000117899	MESD	 BOCA, KIAA0081, MESDC2,	"Mesoderm development LRP chaperone"	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	23184	MESD	TopGeneInFirstStep	TopGeneInFirstStep	LiverMacrophage,KupfferCells
ENSG00000118260	CREB1	 ,	"CAMP responsive element binding protein 1"	"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	1385	CREB1	TF,FunctionGene	TopGeneInFirstStep,TF,FunctionGene	TF,FunctionGene,LiverMacrophage
ENSG00000118263	KLF7	 UKLF,	"Kruppel like factor 7"	"Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	8609	KLF7	TF	TF	TF,LiverMacrophage
ENSG00000118503	TNFAIP3	 A20, OTUD7C,	"TNF alpha induced protein 3"	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	7128	TNFAIP3	CancerDExpr,FunctionGene	FunctionGene	CancerDExpr,FunctionGene,LiverMacrophage,KupfferCells
ENSG00000118620	ZNF430	 FLJ13659,	"Zinc finger protein 430"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	80264	ZNF430	TF	TF	TF
ENSG00000118640	VAMP8	 EDB,	"Vesicle associated membrane protein 8"	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	8673	VAMP8	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000118689	FOXO3	 AF6q21, FKHRL1, FOXO2, FOXO3A,	"Forkhead box O3"	"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	2309	FOXO3	TF	TF	TF,LiverMacrophage,KupfferCells
ENSG00000118707	TGIF2	 ,	"TGFB induced factor homeobox 2"	"Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	60436	TGIF2	TF	TF	TF
ENSG00000118855	MFSD1	 FLJ14153, Minerva, UG0581B09,	"Major facilitator superfamily domain containing 1"	"Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	64747	MFSD1	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000119403	PHF19	 DKFZP727G051, MTF2L1, PCL3, TDRD19B,	"PHD finger protein 19"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	26147	PHF19 	TF	TF	TF
ENSG00000119541	VPS4B	 SKD1, SKD1B, VPS4-2,	"Vacuolar protein sorting 4 homolog B"	"Enzymes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9525	VPS4B	TopGeneInFirstStep	TopGeneInFirstStep	LiverMacrophage,KupfferCells
ENSG00000119574	ZBTB45	 FLJ14486, ZNF499,	"Zinc finger and BTB domain containing 45"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	84878	ZBTB45	TF	TF	TF
ENSG00000119632	IFI27L2	 FAM14A, TLH29,	"Interferon alpha inducible protein 27 like 2"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	83982	IFI27L2	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000119866	BCL11A	 BCL11A-L, BCL11A-S, BCL11A-XL, CTIP1, EVI9, HBFQTL5, ZNF856,	"BAF chromatin remodeling complex subunit BCL11A"	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	53335	BCL11A	TF	TF	TF
ENSG00000119950	MXI1	 bHLHc11, MAD2, MXD2, MXI,	"MAX interactor 1, dimerization protein"	"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	4601	MXI1	TF	TF	TF
ENSG00000120129	DUSP1	 CL100, HVH1, MKP-1, PTPN10,	"Dual specificity phosphatase 1"	"Cancer-related genes, Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	1843	DUSP1	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000120306	CYSTM1	 C5orf32, ORF1-FL49,	"Cysteine rich transmembrane module containing 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	84418	CYSTM1	TcellActVsNaive	TcellActVsNaive	LiverMacrophage
ENSG00000120533	ENY2	 DC6, FLJ20480, Sus1,	"ENY2 transcription and export complex 2 subunit"	"Predicted intracellular proteins, Transporters"	"Evidence at protein level"	"Evidence at transcript level"	56943	ENY2	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000120656	TAF12	 TAF2J, TAFII20,	"TATA-box binding protein associated factor 12"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	6883	TAF12	TopGeneInFirstStep	TopGeneInFirstStep	LiverMacrophage,KupfferCells
ENSG00000120697	ALG5	 bA421P11.2,	"ALG5 dolichyl-phosphate beta-glucosyltransferase"	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	29880	ALG5	TopGeneInFirstStep	TopGeneInFirstStep	KupfferCells
ENSG00000120798	NR2C1	 TR2, TR2-11,	"Nuclear receptor subfamily 2 group C member 1"	"Nuclear receptors, Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	7181	NR2C1	TF,FunctionGene	TF,FunctionGene	TF,FunctionGene
ENSG00000120802	TMPO	 LAP2, LEMD4, TP,	Thymopoietin	"Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	7112	TMPO	TopGeneInFirstStep	TopGeneInFirstStep	LiverMacrophage,KupfferCells
ENSG00000120889	TNFRSF10B	 CD262, DR5, KILLER, TRAIL-R2, TRAILR2, TRICK2A, TRICKB,	"TNF receptor superfamily member 10b"	"Cancer-related genes, CD markers, Disease related genes, Plasma proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	8795	TNFRSF10B	FunctionGene	FunctionGene	FunctionGene
ENSG00000120899	PTK2B	 CADTK, CAKB, FAK2, PTK, PYK2, RAFTK,	"Protein tyrosine kinase 2 beta"	"Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	2185	PTK2B	TopGeneInFirstStep,FunctionGene	FunctionGene	FunctionGene,LiverMacrophage,KupfferCells
ENSG00000120910	PPP3CC	 CALNA3, PP2Bgamma,	"Protein phosphatase 3 catalytic subunit gamma"	"Enzymes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	5533	PPP3CC	FunctionGene	FunctionGene	FunctionGene
ENSG00000120913	PDLIM2	 ,	"PDZ and LIM domain 2"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	64236	PDLIM2	TopGeneInFirstStep	TopGeneInFirstStep	LiverMacrophage,KupfferCells
ENSG00000120992	LYPLA1	 APT-1, LPL1,	"Lysophospholipase 1"	"Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	10434	LYPLA1	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000121067	SPOP	 BTBD32, TEF2,	"Speckle type BTB/POZ protein"	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	8405	SPOP	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000121417	ZNF211	 CH2H2-25, ZNF-25,	"Zinc finger protein 211"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	10520	ZNF211	TF	TF	TF
ENSG00000121691	CAT	 ,	Catalase	"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	847	CAT	TopGeneInFirstStep,FunctionGene	TopGeneInFirstStep,FunctionGene	TopGeneInFirstStep,FunctionGene,LiverMacrophage,KupfferCells
ENSG00000121858	TNFSF10	 Apo-2L, CD253, TL2, TRAIL,	"TNF superfamily member 10"	"Cancer-related genes, CD markers, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at transcript level"	8743	TNFSF10	FunctionGene	TopGeneInFirstStep,FunctionGene	TopGeneInFirstStep,FunctionGene,LiverMacrophage,KupfferCells
ENSG00000121864	ZNF639	 ANC-2H01, ZASC1,	"Zinc finger protein 639"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	51193	ZNF639	TF	TF	TF
ENSG00000121966	CXCR4	 CD184, D2S201E, fusin, HM89, HSY3RR, LESTR, NPY3R, NPYR, NPYY3R,	"C-X-C motif chemokine receptor 4"	"Cancer-related genes, CD markers, Disease related genes, FDA approved drug targets, G-protein coupled receptors, Human disease related genes, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at transcript level"	7852	CXCR4	TopGeneInFirstStep,CancerDExpr,FunctionGene	TopGeneInFirstStep,CancerDExpr,FunctionGene	CancerDExpr,FunctionGene,LiverMacrophage,KupfferCells
ENSG00000122033	MTIF3	 IF-3mt, IF3(mt),	"Mitochondrial translational initiation factor 3"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	219402	MTIF3	TopGeneInFirstStep	TopGeneInFirstStep	LiverMacrophage,KupfferCells
ENSG00000122068	FYTTD1	 DKFZp761B1514, UIF,	"Forty-two-three domain containing 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	84248	FYTTD1	TopGeneInFirstStep	TopGeneInFirstStep	LiverMacrophage,KupfferCells
ENSG00000122085	MTERF4	 MGC61716, MTERFD2,	"Mitochondrial transcription termination factor 4"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	130916	MTERF4	TopGeneInFirstStep,TF	TopGeneInFirstStep,TF	TF
ENSG00000122122	SASH3	 753P9, CXorf9, HACS2, SH3D6C, SLY,	"SAM and SH3 domain containing 3"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	54440	SASH3	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,KupfferCells
ENSG00000122545	SEPTIN7	 CDC10, CDC3, SEPT7, SEPT7A,	"Septin 7"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	989	SEPTIN7	TopGeneInFirstStep,CancerDExpr,FunctionGene	TopGeneInFirstStep,FunctionGene	TopGeneInFirstStep,FunctionGene,LiverMacrophage,KupfferCells
ENSG00000122694	GLIPR2	 C9orf19, GAPR-1,	"GLI pathogenesis related 2"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	152007	GLIPR2	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,CancerDExpr,KupfferCells
ENSG00000122729	ACO1	 IREB1, IREBP, IRP1,	"Aconitase 1"	"Cancer-related genes, Citric acid cycle related proteins, Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	48	ACO1	FunctionGene	FunctionGene	FunctionGene
ENSG00000122862	SRGN	 PPG, PRG, PRG1,	Serglycin	"Plasma proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	5552	SRGN	TopGeneInFirstStep,CancerDExpr,TcellActVsNaive	TopGeneInFirstStep,TcellActVsNaive	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000123131	PRDX4	 AOE37-2,	"Peroxiredoxin 4"	"Cancer-related genes, Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	10549	PRDX4	TopGeneInFirstStep,TcellActVsNaive	TopGeneInFirstStep,TcellActVsNaive	LiverMacrophage,KupfferCells
ENSG00000123146	ADGRE5	 CD97, TM7LN1,	"Adhesion G protein-coupled receptor E5"	"CD markers, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	976	ADGRE5	TopGeneInFirstStep,TcellActVsNaive	TopGeneInFirstStep,TcellActVsNaive	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000123268	ATF1	 TREB36,	"Activating transcription factor 1"	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	466	ATF1	TF	TopGeneInFirstStep,TF	TF
ENSG00000123329	ARHGAP9	 10C, MGC1295,	"Rho GTPase activating protein 9"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	64333	ARHGAP9	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep
ENSG00000123353	ORMDL2	 adoplin-2, HSPC160, MST095, MSTP095,	"ORMDL sphingolipid biosynthesis regulator 2"	"Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	29095	ORMDL2	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep
ENSG00000123609	NMI	 ,	"N-myc and STAT interactor"	"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	9111	NMI	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,LiverMacrophage
ENSG00000123933	MXD4	 bHLHc12, MAD4, MST149, MSTP149,	"MAX dimerization protein 4"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	10608	MXD4	TF	TF	TF,LiverMacrophage,KupfferCells
ENSG00000124151	NCOA3	 ACTR, AIB1, bHLHe42, CAGH16, KAT13B, p/CIP, RAC3, SRC-3, SRC3, TNRC16, TRAM-1,	"Nuclear receptor coactivator 3"	"Cancer-related genes, Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	8202	NCOA3	TF	TF	TF,LiverMacrophage,KupfferCells
ENSG00000124155	PIGT	 ,	"Phosphatidylinositol glycan anchor biosynthesis class T"	"Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	51604	PIGT	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000124299	PEPD	 ,	"Peptidase D"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	5184	PEPD	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000124357	NAGK	 GNK,	"N-acetylglucosamine kinase"	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	55577	NAGK	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000124444	ZNF576	 MGC2508,	"Zinc finger protein 576"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	79177	ZNF576	TF	TF	TF
ENSG00000124459	ZNF45	 ZNF13,	"Zinc finger protein 45"	"Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	7596	ZNF45	TF	TF	TF
ENSG00000124570	SERPINB6	 CAP, DFNB91, PI6, PTI,	"Serpin family B member 6"	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	5269	SERPINB6	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000124596	OARD1	 C6orf130, dJ34B21.3, MGC19570, TARG1,	"O-acyl-ADP-ribose deacylase 1"	"Disease related genes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	221443	OARD1	TopGeneInFirstStep	TopGeneInFirstStep	LiverMacrophage
ENSG00000124659	TBCC	 CFC,	"Tubulin folding cofactor C"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	6903	TBCC	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep
ENSG00000124702	KLHDC3	 dJ20C7.3, hPeas, PEAS,	"Kelch domain containing 3"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	116138	KLHDC3	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep
ENSG00000124766	SOX4	 ,	"SRY-box transcription factor 4"	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	6659	SOX4	TF	TF	TF,LiverMacrophage,KupfferCells
ENSG00000124782	RREB1	 HNT,	"Ras responsive element binding protein 1"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	6239	RREB1	TF	TF	TF,LiverMacrophage,KupfferCells
ENSG00000124783	SSR1	 TRAPA,	"Signal sequence receptor subunit 1"	"Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	6745	SSR1	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000124831	LRRFIP1	 FLAP-1, FLIIAP1, GCF-2, HUFI-1, TRIP,	"LRR binding FLII interacting protein 1"	"Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	9208	LRRFIP1	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000124942	AHNAK	 MGC5395,	"AHNAK nucleoprotein"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	79026	AHNAK	FunctionGene	FunctionGene	TopGeneInFirstStep,FunctionGene,LiverMacrophage,KupfferCells
ENSG00000125148	MT2A	 MT2,	"Metallothionein 2A"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	4502	MT2A	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000125347	IRF1	 MAR,	"Interferon regulatory factor 1"	"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	3659	IRF1	TopGeneInFirstStep,TF,FunctionGene,TcellActVsNaive	TopGeneInFirstStep,TF,FunctionGene	TopGeneInFirstStep,TF,FunctionGene,LiverMacrophage,KupfferCells
ENSG00000125384	PTGER2	 EP2,	"Prostaglandin E receptor 2"	"FDA approved drug targets, G-protein coupled receptors, Human disease related genes, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	5732	PTGER2	TopGeneInFirstStep,FunctionGene	TopGeneInFirstStep,FunctionGene	FunctionGene
ENSG00000125457	MIF4GD	 AD023, MGC45027, MIFD, SLIP1,	"MIF4G domain containing"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	57409	MIF4GD	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep
ENSG00000125458	NT5C	 cdN, DNT-1, DNT1, PN-I, UMPH2,	"5', 3'-nucleotidase, cytosolic"	"Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	30833	NT5C	TopGeneInFirstStep	TopGeneInFirstStep	LiverMacrophage,KupfferCells
